Material_ID|Material_Name|Type|Unit_Price|Stock_Initial|Supplier_ID|Total_Stock_Value|Cost_Per_Unit_Carbon|Environmental_Impact_Score|Recyclable_Status|Stock_Alert_Level|Supply_Reliability_Index
M347|Eco-Sel en poudre|Produit laitier|230.88|176|SUPPLIER_50|36208.47|0.72|573.0|Oui|Faible|6.44
M278|Ultra-Sucre naturel|Ingrédient|384.12|634|SUPPLIER_25|230319.86|0.72|788.0|Non|Normal|3.72
M323|Premium-Amidon liquide|Produit laitier|359.02|937|SUPPLIER_82|287326.28|0.18|2829.0|Oui|Élevé|10.54
M207|Premium-Beurre en poudre|Produit laitier|93.42|1093|SUPPLIER_33|86211.23|0.05|2850.0|Non|Élevé|3.88
M179|Premium-Sucre naturel|Produit laitier|470.12|653|SUPPLIER_26|363105.5|0.28|2430.0|Oui|Élevé|10.62
M357|Bio-Amidon en poudre|Produit laitier|317.27|572|SUPPLIER_32|193269.59|0.24|2025.0|Oui|Normal|5.76
M045|Premium-Sel enrichi|Ingrédient|97.93|316|SUPPLIER_20|37148.89|0.32|408.9|Oui|Normal|11.28
M023|Bio-Sel liquide|Produit laitier|65.94|529|SUPPLIER_83|32762.03|0.08|1431.0|Non|Normal|6.64
M158|Eco-Lait en poudre|Ingrédient|252.18|602|SUPPLIER_7|135748.78|0.47|731.9|Oui|Normal|3.89
M310|Bio-Arôme naturel|Ingrédient|421.55|885|SUPPLIER_68|423365.24|0.5|1139.7|Non|Élevé|3.58
M389|Super-Arôme enrichi||416.51|552|SUPPLIER_7|208898.93|7.53|1277.45|Non|Normal|18.43
M176|Ultra-Chocolat concentré|Produit laitier|262.45|673|SUPPLIER_37|156022.91|0.18|2166.0|Oui|Normal|3.23
M126|Bio-Arôme en poudre|Produit laitier|376.44|167|SUPPLIER_8|52941.01|1.08|552.0|Oui|Faible|8.05
M219|Ultra-Fromage en poudre|Produit laitier|502.03|680|SUPPLIER_6|352413.08|0.35|2163.0|Non|Élevé|20.7
M456|Eco-Arôme liquide|Ingrédient|338.3|875|SUPPLIER_62|250056.13|0.42|929.4|Oui|Élevé|7.91
M265|Bio-Sirop concentré|Produit laitier|490.53|553|SUPPLIER_17|274625.44|0.41|1722.0|Non|Normal|6.45
M2t|Ultra-Sucre en poudre|Produith|75.42|351||27131.38|0.11|961.12|Non|Normal|34.7
M325|Eco-Sucre liquide|Ingrédient|232.09|582|SUPPLIER_32|129676.77|0.36|794.3|Non|Normal|4.13
M007|Ultra-Arôme enrichi|Produit laitier|226.04|561|SUPPLIER_60|144407.08|0.17|2007.0|Oui|Normal|9.09
M269|Ultra-Crème enrichi|Produit laitier|420.27|954|SUPPLIER_77|386641.22|0.24|2880.0|Non|Élevé|10.53
M474|Super-Fromage naturel|Produit laitier|55.64|333|SUPPLIER_25|15646.36|0.1|942.0|Oui|Faible|5.09
M383|Ultra-Chocolat en poudre|Produit laitier|205.55|404|SUPPLIER_32|103522.86|0.26|1332.0|Non|Normal|6.18
M495|Eco-Sel en poudre|Produit laitier|144.8|692|SUPPLIER_30|111040.2|0.1|2241.0|Non|Élevé|7.35
M325|Eco-Lait concentré|Ingrédient|230.32|506|SUPPLIER_32|143768.15|0.36|794.3|Non|Normal|4.13
M051|Eco-Arôme en poudre|Ingrédient|299.64|644|SUPPLIER_55|169729.39|0.52|666.1|Non|Normal|6.81
M118|Eco-Sirop liquide|Ingrédient|208.78|366|SUPPLIER_20|69618.41|0.66|400.5|Oui|Normal|8.73
M495|Eco-Fromage naturel|Produit laitier|169.87|1087|SUPPLIER_68|197390.18|0.09|3000.0|Oui|Élevé|20.5
M126|Super-Sel liquide|Produit laitier|390.78|189|SUPPLIER_8|59016.06|1.08|552.0|Oui|Faible|8.05
M300|Eco-Beurre en poudre|Produit laitier|57.63|574|SUPPLIER_35|34063.87|0.05|1896.0|Non|Normal|2.86
M246|Super-Beurre concentré|Produit laitier|433.08|654|SUPPLIER_42|249205.55|0.39|1791.0|Oui|Normal|10.85
M238|Ultra-Lait liquide||449.74|14|SUPPLIER_51|7043.77|1.51|744.79|Non|Critique|43.29
M078|Super-Chocolat naturel|Ingrédient|244.94|90|SUPPLIER_22|22158.38|2.11|178.8|Oui|Faible|14.26
M232|Ultra-Sucre enrichi|Produit laitier|218.03|779|SUPPLIER_35|196955.52|0.11|2916.0|Oui|Élevé|5.53
M293|Ultra-Lait en poudre|Produit laitier|414.16|657|SUPPLIER_12|218291.19|0.35|1851.0|Oui|Normal|4.19
M402|Super-Sucre naturel|Ingrédient|310.03|118|SUPPLIER_3|32789.78|2.41|145.9|Non|Faible|28.4
M156|Eco-Lait liquide|Produit laitier|225.47|771|SUPPLIER_83|191833.42|0.12|2748.0|Oui|Élevé|6.11
M177|Ultra-Beurre naturel|Ingrédient|108.89|213|SUPPLIER_27|23593.09|0.46|360.9|Oui|Faible|7.07
M004|Super-Arôme naturel|Produit laitier|446.11|475|SUPPLIER_15|212195.2|0.5|1491.0|Non|Normal|3.12
M493|Ultra-Sirop concentré|Ingrédient|194.48|256|SUPPLIER_69|48991.84|0.62|351.7|Non|Faible|11.82
M420|Eco-Sucre en poudre|Produit laitier|363.6|870|SUPPLIER_59|368113.41|0.23|2649.0|Oui|Élevé|3.92
M131|Eco-Lait liquide|Ingrédient|86.21|462|SUPPLIER_12|42336.39|0.2|512.2|Non|Normal|22.21
M484|Bio-Sel enrichi|Produit laitier|259.75|641|SUPPLIER_46|176100.4|0.2|2157.0|Non|Normal|4.72
M402|Super-Chocolat naturel|Produit laitier|377.45|705|SUPPLIER_36|339155.43|0.26|2403.0|Oui|Élevé|7.3
M486|Premium-Sel concentré|Ingrédient|331.19|355|SUPPLIER_7|148823.77|0.86|608.7|Non|Normal|4.4
M495|Ultra-Sucre naturel|Produit laitier|87.81|176|SUPPLIER_32|15633.82|0.2|645.0|Non|Faible|8.09
M308|Eco-Crème enrichi|Produit laitier|322.89|575|SUPPLIER_5|153503.93|0.29|1605.0|Oui|Normal|6.52
M274|Super-Chocolat liquide|Produit laitier|395.48|409|SUPPLIER_15|173043.05|0.51|1317.0|Oui|Normal|5.21
M4i|Premium-Fromage enrichi||987.75|619||38543.34|1.76|1514.35|Non|Normal|2.13
M073|Ultra-Sucre liquide|Ingrédient|221.12|883|SUPPLIER_63|168481.68|0.25|918.8|Oui|Élevé|11.24
M247|Premium-Amidon enrichi|Ingrédient|370.99|339|SUPPLIER_15|109349.77|1.4|334.0|Oui|Faible|23.45
M465|Premium-Fromage enrichi||909.85|478||6419.47|3.07|240.36|Non|Normal|36.62
M375|Bio-Sirop liquide|Ingrédient|472.59|775|SUPPLIER_48|270592.16|0.66|798.1|Non|Normal|6.49
M198|Eco-Fromage enrichi|Produit laitier|62.2|781|SUPPLIER_26|55680.45|0.04|2571.0|Non|Élevé|6.15
M3v|Bio-Fromage liquide|Ingrév|1028.37|96|SUPPLIER_36|39120.72|3.07|213.96|Non|Critique|36.62
M002|Bio-Sucre en poudre|Ingrédient|322.52|863|SUPPLIER_38|351294.86|0.35|1219.2|Oui|Élevé|3.03
M073|Super-Beurre enrichi|Ingrédient|186.04|813|SUPPLIER_63|151174.26|0.25|918.8|Oui|Élevé|11.24
M147|Ultra-Chocolat concentré|Produit laitier|84.71|798|SUPPLIER_83|88946.8|0.05|2850.0|Non|Élevé|20.53
M396|Ultra-Arôme en poudre|Ingrédient|170.01|201|SUPPLIER_73|34176.06|1.01|274.1|Non|Faible|9.52
M389|Premium-Sucre naturel||422.52|654|SUPPLIER_7|248956.7|7.53|1277.45|Non|Normal|18.43
M349|Bio-Fromage enrichi|Ingrédient|433.67|387|SUPPLIER_22|192068.74|0.92|665.9|Non|Normal|4.13
M4i|Premium-Sirop enrichi||918.41|607||33655.8|1.76|1514.35|Non|Normal|2.13
M152|Ultra-Amidon liquide|Ingrédient|112.27|567|SUPPLIER_62|65511.67|0.2|672.7|Non|Normal|6.8
M426|Eco-Sirop naturel|Ingrédient|374.34|309|SUPPLIER_26|115751.66|1.19|387.8|Non|Faible|8.36
M017|Bio-Beurre concentré|Produit laitier|83.05|582|SUPPLIER_12|41237.99|0.07|1674.0|Non|Normal|4.94
M192|Super-Beurre liquide|Ingrédient|337.53|686|SUPPLIER_76|228525.31|0.38|967.1|Non|Élevé|5.23
M448|Ultra-Amidon naturel|Produit laitier|224.21|923|SUPPLIER_51|185711.38|0.14|2598.0|Non|Élevé|6.15
M420|Super-Lait en poudre|Ingrédient|406.91|841|SUPPLIER_6|370488.72|0.52|924.7|Oui|Élevé|21.21
M0y|Premium-Arôme naturel|Produitm|90.97|461||36667.32|0.31|1526.51|Non|Normal|3.53
M268|Premium-Sel concentré|Produit laitier|160.18|917|SUPPLIER_55|154385.34|0.1|2700.0|Non|Élevé|2.59
M315|Ultra-Sel naturel|Ingrédient|324.85|550|SUPPLIER_83|201648.98|0.47|788.5|Non|Normal|4.91
M358|Ultra-Sucre en poudre|Ingrédient|427.73|966|SUPPLIER_66|463496.75|0.49|1167.5|Non|Élevé|3.08
M346|Bio-Sirop liquide|Ingrédient|102.54|400|SUPPLIER_71|45932.91|0.22|582.5|Oui|Normal|7.11
M166|Super-Lait concentré|Ingrédient|187.03|403|SUPPLIER_65|81084.21|0.45|572.1|Oui|Normal|4.93
M402|Eco-Chocolat concentré|Produit laitier|412.25|709|SUPPLIER_36|290602.63|0.26|2403.0|Oui|Élevé|7.3
M278|Super-Chocolat liquide|Ingrédient|379.41|691|SUPPLIER_25|244560.61|0.72|788.0|Non|Normal|3.72
M381|Bio-Crème en poudre|Produit laitier|457.05|131|SUPPLIER_64|66771.67|1.74|492.0|Oui|Faible|7.06
M178|Eco-Fromage en poudre|Ingrédient|358.85|775|SUPPLIER_44|233544.09|0.58|749.8|Oui|Normal|21.5
M4t|Bio-Sel naturel||1002.02|438|SUPPLIER_57|1169.26|58.48|629.12|Oui|Normal|70.83
M476|Premium-Sucre naturel|Produit laitier|439.65|468|SUPPLIER_79|200217.35|0.48|1383.0|Non|Normal|5.15
M148|Eco-Amidon liquide|Ingrédient|416.98|565|SUPPLIER_30|242579.6|0.76|801.2|Oui|Normal|3.69
M460|Super-Sel concentré|Produit laitier|132.78|657|SUPPLIER_20|76857.61|0.11|1971.0|Oui|Normal|2.82
M399|Eco-Arôme naturel|Ingrédient|177.98|520|SUPPLIER_72|85818.06|0.42|572.9|Oui|Normal|5.61
M456|Eco-Arôme liquide|Produit laitier|135.94|296|SUPPLIER_23|31797.52|0.25|813.0|Oui|Faible|7.53
M147|Ultra-Lait naturel|Produit laitier|77.83|912|SUPPLIER_83|75555.91|0.05|2850.0|Non|Élevé|20.53
M483|Super-Chocolat enrichi|Ingrédient|458.19|668|SUPPLIER_17|356048.91|0.57|931.5|Oui|Élevé|4.64
M128|Ultra-Sirop enrichi|Ingrédient|464.19|710|SUPPLIER_49|288941.69|0.77|708.0|Oui|Normal|21.59
M190|Super-Fromage concentré|Ingrédient|299.17|401|SUPPLIER_26|165419.33|0.7|587.6|Non|Normal|6.15
M381|Ultra-Sel concentré|Produit laitier|501.88|120|SUPPLIER_64|58852.29|1.74|492.0|Oui|Faible|7.06
M046|Premium-Sucre liquide|Ingrédient|298.05|720|SUPPLIER_10|281146.53|0.34|998.4|Non|Élevé|21.12
M304|Eco-Sirop concentré|Ingrédient|411.93|857|SUPPLIER_5|360366.59|0.41|1073.3|Oui|Élevé|9.39
M456|Eco-Arôme en poudre|Ingrédient|322.65|657|SUPPLIER_62|281528.58|0.42|929.4|Oui|Élevé|7.91
M171|Super-Beurre concentré|Produit laitier|435.3|458|SUPPLIER_79|209418.87|0.48|1467.0|Oui|Normal|5.08
M226|Ultra-Beurre enrichi|Produit laitier|336.64|788|SUPPLIER_3|286427.49|0.17|2811.0|Oui|Élevé|2.56
M011|Bio-Chocolat en poudre|Produit laitier|260.95|256|SUPPLIER_42|60901.57|0.54|738.0|Oui|Faible|22.07
M377|Bio-Lait liquide|Ingrédient|272.1|820|SUPPLIER_29|245360.03|0.29|1076.4|Oui|Élevé|6.08
M228|Bio-Amidon liquide|Ingrédient|385.0|571|SUPPLIER_15|235140.27|0.58|723.5|Non|Normal|9.93
M462|Eco-Chocolat enrichi|Ingrédient|268.41|318|SUPPLIER_38|85377.5|0.95|426.6|Non|Normal|6.6
M495|Eco-Beurre naturel|Produit laitier|175.96|852|SUPPLIER_68|164473.71|0.09|3000.0|Oui|Élevé|20.5
M456|Bio-Lait en poudre|Ingrédient|329.37|920|SUPPLIER_62|295264.66|0.42|929.4|Oui|Élevé|7.91
M444|Ultra-Arôme en poudre||501.42|483|SUPPLIER_8|2305.97|0.5|2671.55|Non|Normal|1.28
M304|Super-Chocolat en poudre|Ingrédient|370.05|1013|SUPPLIER_5|367700.16|0.41|1073.3|Oui|Élevé|9.39
M449|Bio-Chocolat en poudre|Ingrédient|233.55|318|SUPPLIER_28|59894.17|0.75|386.7|Oui|Faible|8.37
M015|Eco-Chocolat concentré|Ingrédient|160.94|986|SUPPLIER_66|131987.32|0.19|999.4|Oui|Élevé|6.17
M249|Ultra-Crème naturel|Produit laitier|507.58|534|SUPPLIER_7|347931.47|0.39|1986.0|Oui|Normal|5.78
M291|Ultra-Sel concentré|Produit laitier|223.2|964|SUPPLIER_12|207736.03|0.13|2748.0|Oui|Élevé|6.11
M050|Bio-Chocolat en poudre|Ingrédient|190.22|401|SUPPLIER_17|78958.2|0.46|506.6|Oui|Normal|7.46
M235|Super-Sucre en poudre|Produit laitier|69.3|851|SUPPLIER_38|53630.5|0.05|2370.0|Non|Élevé|2.68
M0k|Super-Lait enrichi|Ingrédient|455.66|800||33221.44|1.44|1893.11|Non|Élevé|3.53
M128|Super-Chocolat liquide|Produit laitier|281.26|119|SUPPLIER_69|35078.06|1.1|438.0|Non|Faible|8.13
M007|Ultra-Amidon en poudre|Produit laitier|352.49|108|SUPPLIER_38|42817.24|1.45|534.0|Oui|Faible|5.91
M162|Eco-Crème enrichi|Produit laitier|177.67|706|SUPPLIER_77|148371.28|0.09|2724.0|Non|Élevé|3.08
M273|Ultra-Lait liquide|Produit laitier|147.88|667|SUPPLIER_52|114455.2|0.1|2532.0|Oui|Élevé|2.63
M186|Eco-Amidon naturel|Ingrédient|71.41|770|SUPPLIER_13|60241.48|0.08|1074.5|Oui|Élevé|4.45
M011|Super-Arôme enrichi|Ingrédient|105.58|451|SUPPLIER_27|49397.03|0.24|613.9|Non|Normal|4.73
M259|Ultra-Chocolat naturel|Produitw|214.94|465||97858.29|0.78|243.36|Non|Normal|86.62
M267|Eco-Crème enrichi|Produit laitier|387.57|828|SUPPLIER_64|275181.42|0.26|2166.0|Oui|Élevé|7.37
M040|Premium-Lait liquide|Produit laitier|294.12|345|SUPPLIER_48|114536.43|0.43|1224.0|Oui|Normal|3.86
M287|Premium-Sucre en poudre|Produit laitier|350.74|435|SUPPLIER_66|192678.18|0.34|1569.0|Non|Normal|20.97
M3i|Eco-Arôme concentré||317.26|446|SUPPLIER_73|1477.21|0.99|743.29|Non|Normal|53.29
M375|Eco-Arôme concentré|Ingrédient|446.23|280|SUPPLIER_2|114360.43|1.47|326.3|Oui|Faible|23.53
M238|Premium-Crème naturel|Ingrédient|209.18|663|SUPPLIER_70|162188.28|0.29|959.3|Non|Élevé|3.81
M101|Ultra-Lait liquide|Produit laitier|66.01|153|SUPPLIER_66|10561.39|0.26|558.0|Oui|Faible|5.68
M011|Eco-Chocolat naturel|Ingrédient|291.53|139|SUPPLIER_69|50227.4|1.83|249.9|Oui|Faible|10.29
M433|Super-Chocolat naturel|Produit laitier|301.68|983|SUPPLIER_80|270907.95|0.15|2958.0|Non|Élevé|20.51
M102|Eco-Arôme enrichi|Produit laitier|168.04|443|SUPPLIER_9|55513.89|0.21|1200.0|Oui|Normal|4.68
M058|Premium-Sel naturel|Produits|893.36|496|SUPPLIER_67|39327.86|3.07|1953.84|Oui|Normal|3.53
M405|Eco-Sirop liquide|Ingrédient|290.25|827|SUPPLIER_70|261855.78|0.32|1105.6|Non|Élevé|3.62
M308|Bio-Chocolat naturel|Produit laitier|87.26|218|SUPPLIER_27|15261.25|0.21|600.0|Oui|Faible|22.56
M252|Bio-Fromage enrichi||863.72|73|SUPPLIER_16|61122.85|3.07|1516.51|Oui|Critique|3.53
M287|Ultra-Sucre enrichi|Produit laitier|172.6|709|SUPPLIER_6|152850.03|0.12|2394.0|Oui|Élevé|20.63
M077|Bio-Lait enrichi|Produit laitier|427.88|767|SUPPLIER_60|350522.34|0.22|2724.0|Oui|Élevé|6.12
M132|Premium-Sucre naturel|Produit laitier|55.03|324|SUPPLIER_14|16620.59|0.08|1026.0|Non|Normal|8.2
M486|Eco-Sirop naturel|Produit laitier|486.16|963|SUPPLIER_46|459746.77|0.24|3018.0|Oui|Élevé|5.51
M396|Premium-Crème en poudre|Ingrédient|197.5|188|SUPPLIER_73|32114.68|1.01|274.1|Non|Faible|9.52
M252|Super-Chocolat enrichi||989.88|77|SUPPLIER_16|59285.62|3.07|1516.51|Oui|Critique|3.53
M032|Ultra-Sel concentré|Ingrédient|246.85|179|SUPPLIER_19|52205.11|1.16|295.4|Non|Faible|9.67
M076|Eco-Sirop en poudre||886.01|51|SUPPLIER_72|36105.8|1.49|2116.67|Non|Critique|1.83
M433|Ultra-Sel concentré|Ingrédient|221.67|625|SUPPLIER_50|178865.95|0.35|885.6|Oui|Normal|3.94
M101|Bio-Fromage liquide|Ingrédient|158.62|656|SUPPLIER_52|134679.47|0.19|949.4|Oui|Élevé|6.78
M148|Premium-Sel liquide|Ingrédient|437.11|475|SUPPLIER_30|240787.99|0.76|801.2|Oui|Normal|3.69
M283|Eco-Sirop enrichi|Ingrédient|159.26|554|SUPPLIER_28|67043.83|0.32|540.8|Non|Normal|22.09
M056|Eco-Lait naturel|Ingrédient|71.74|278|SUPPLIER_62|24538.51|0.22|453.4|Oui|Normal|6.91
M426|Ultra-Fromage enrichi|Produitp|461.2|452||144950.2|1.44|742.69|Non|Normal|58.84
M007|Eco-Sel naturel|Ingrédient|82.65|343|SUPPLIER_41|35743.16|0.18|482.5|Oui|Normal|22.35
M022|Eco-Chocolat naturel|Ingrédient|299.61|260|SUPPLIER_49|92387.61|0.86|477.5|Oui|Normal|5.58
M0f|Eco-Sel en poudre||281.66|497|SUPPLIER_9|35944.11|1.99|1871.17|Non|Normal|7.44
M223|Premium-Lait enrichi|Ingrédient|143.31|598|SUPPLIER_66|106845.59|0.24|783.4|Non|Normal|5.55
M051|Premium-Sucre liquide|Produit laitier|443.97|158|SUPPLIER_36|79549.98|1.52|537.0|Non|Faible|8.14
M140|Eco-Crème enrichi|Produit laitier|322.5|356|SUPPLIER_37|91129.07|0.49|957.0|Oui|Normal|8.31
M456|Bio-Amidon naturel|Ingrédient|325.71|337|SUPPLIER_22|114515.04|0.81|441.4|Oui|Normal|12.67
M043|Bio-Chocolat en poudre|Ingrédient|156.12|766|SUPPLIER_25|126380.57|0.22|892.8|Non|Élevé|21.25
M175|Ultra-Amidon concentré|Produit laitier|327.31|119|SUPPLIER_9|35253.4|1.44|366.0|Non|Faible|14.46
M266|Bio-Amidon en poudre|Ingrédient|237.05|745|SUPPLIER_24|144365.77|0.35|746.6|Non|Normal|9.88
M322|Eco-Arôme concentré|Produit laitier|123.52|637|SUPPLIER_13|69743.81|0.12|1749.0|Non|Normal|5.89
M253|Ultra-Chocolat enrichi|Produit laitier|123.18|828|SUPPLIER_6|96934.52|0.08|2280.0|Non|Élevé|4.68
M025|Bio-Beurre liquide|Produit laitier|284.13|115|SUPPLIER_57|38266.61|1.24|408.0|Non|Faible|12.37
M252|Bio-Sucre concentré||929.51|84|SUPPLIER_16|53593.35|3.07|1516.51|Oui|Critique|3.53
M4i|Bio-Chocolat concentré||56.24|873||34688.8|0.18|746.29|Non|Élevé|36.62
M288|Ultra-Sel liquide|Produit laitier|359.74|692|SUPPLIER_37|272534.26|0.27|2289.0|Oui|Élevé|4.68
M357|Super-Sirop en poudre|Produit laitier|476.54|168|SUPPLIER_17|59671.56|1.49|594.0|Oui|Faible|5.38
M0x|Premium-Arôme enrichi||907.99|88||4660.28|0.48|2375.75|Non|Critique|0.76
M1f|Eco-Lait liquide|Produitj|389.35|138|SUPPLIER_21|5229.65|1.24|186.46|Non|Faible|43.29
M279|Bio-Chocolat enrichi|Produit laitier|138.04|676|SUPPLIER_81|81611.6|0.09|2196.0|Oui|Élevé|4.05
M493|Premium-Chocolat en poudre|Ingrédient|176.71|269|SUPPLIER_69|47675.3|0.62|351.7|Non|Faible|11.82
M095|Ultra-Amidon concentré|Ingrédient|199.1|149|SUPPLIER_42|31872.14|1.11|311.4|Non|Faible|8.25
M490|Eco-Amidon enrichi|Produit laitier|226.54|594|SUPPLIER_29|135926.62|0.16|2061.0|Non|Normal|5.75
M175|Ultra-Sirop en poudre|Produit laitier|162.89|960|SUPPLIER_62|156515.88|0.1|2781.0|Non|Élevé|3.89
M004|Super-Sel en poudre|Produit laitier|482.24|408|SUPPLIER_15|214264.44|0.5|1491.0|Non|Normal|3.12
M090|Bio-Amidon liquide|Produit laitier|388.32|393|SUPPLIER_66|188338.3|0.37|1509.0|Non|Normal|9.35
M3v|Super-Sel enrichi|Ingrédient|50.27|392||41071.24|0.18|740.89|Non|Normal|86.62
M171|Super-Arôme naturel||923.51|520|SUPPLIER_53|3471.15|3.07|344.76|Non|Normal|28.29
M361|Eco-Amidon naturel|Produit laitier|418.39|674|SUPPLIER_35|260150.83|0.34|1968.0|Oui|Normal|4.13
M274|Eco-Amidon en poudre|Produit laitier|495.58|915|SUPPLIER_35|438309.39|0.26|2802.0|Non|Élevé|5.55
M004|Bio-Arôme en poudre|Ingrédient|143.18|151|SUPPLIER_18|20000.97|1.04|195.7|Non|Faible|13.97
M4i|Bio-Chocolat naturel||54.86|710||38569.81|0.18|746.29|Non|Élevé|36.62
M224|Eco-Beurre naturel|Produit laitier|82.65|499|SUPPLIER_54|35813.4|0.09|1377.0|Oui|Normal|6.69
M484|Super-Sucre en poudre|Produit laitier|218.15|793|SUPPLIER_75|187202.73|0.12|2754.0|Oui|Élevé|6.11
M047|Super-Arôme liquide|Produit laitier|128.31|219|SUPPLIER_3|25268.91|0.35|684.0|Oui|Faible|5.86
M405|Bio-Sel liquide|Produit laitier|253.82|305|SUPPLIER_37|98944.05|0.36|1170.0|Oui|Normal|5.37
M427|Premium-Fromage en poudre|Ingrédient|75.41|855|SUPPLIER_71|73687.08|0.08|1071.1|Non|Élevé|9.4
M439|Ultra-Arôme concentré|Produit laitier|105.28|413|SUPPLIER_66|43966.04|0.15|1182.0|Non|Normal|11.3
M249|Eco-Sucre enrichi|Produit laitier|380.75|342|SUPPLIER_18|121683.85|0.5|1083.0|Non|Normal|21.4
M235|Bio-Sirop en poudre||991.51|393|SUPPLIER_19|36968.68|3.07|740.89|Non|Normal|86.62
M495|Eco-Fromage naturel|Produit laitier|77.97|171|SUPPLIER_32|14734.6|0.2|645.0|Non|Faible|8.09
M3e|Bio-Chocolat liquide||357.99|476|SUPPLIER_52|3206.54|1.12|1953.84|Non|Normal|3.53
M054|Premium-Sel naturel|Produit laitier|280.32|268|SUPPLIER_38|67955.88|0.6|837.0|Non|Faible|5.34
M451|Ultra-Crème naturel|Produit laitier|18.67|164|SUPPLIER_1|33754.68|0.06|1432.55|Non|Faible|3.02
M129|Ultra-Crème liquide|Ingrédient|148.96|178|SUPPLIER_3|34497.8|0.73|273.8|Non|Faible|11.47
M304|Premium-Sucre en poudre|Ingrédient|356.39|800|SUPPLIER_5|325611.52|0.41|1073.3|Oui|Élevé|9.39
M114|Eco-Lait naturel|Produit laitier|282.11|283|SUPPLIER_32|76928.25|0.56|846.0|Oui|Faible|5.32
M332|Premium-Chocolat concentré|Produit laitier|402.44|504|SUPPLIER_59|296929.51|0.36|1950.0|Oui|Normal|4.8
M269|Ultra-Chocolat liquide|Produit laitier|352.48|143|SUPPLIER_26|51592.77|1.26|495.0|Non|Faible|8.45
M263|Premium-Crème enrichi|Produit laitier|384.31|919|SUPPLIER_5|315572.38|0.22|2625.0|Non|Élevé|2.61
M021|Bio-Sucre concentré|Ingrédient|434.45|511|SUPPLIER_47|235121.55|0.8|695.0|Non|Normal|5.15
M073|Premium-Crème naturel|Produit laitier|268.83|420|SUPPLIER_78|117550.13|0.37|1302.0|Non|Normal|3.3
M009|Eco-Chocolat naturel|Ingrédient|355.1|1056|SUPPLIER_16|330239.69|0.36|1108.4|Non|Élevé|21.01
M218|Eco-Beurre liquide|Ingrédient|322.56|1151|SUPPLIER_70|316707.54|0.31|1090.4|Oui|Élevé|11.04
M025|Bio-Sel en poudre|Produit laitier|450.84|310|SUPPLIER_28|112327.47|0.86|906.0|Oui|Faible|4.41
M250|Premium-Sucre en poudre|Produit laitier|393.54|868|SUPPLIER_33|345837.68|0.27|2478.0|Non|Élevé|3.96
M040|Premium-Beurre naturel|Produit laitier|312.47|364|SUPPLIER_48|108147.86|0.43|1224.0|Oui|Normal|3.86
M115|Super-Arôme en poudre|Ingrédient|460.96|311|SUPPLIER_48|148865.94|1.5|401.2|Oui|Normal|11.35
M080|Ultra-Sirop concentré|Produit laitier|314.52|972|SUPPLIER_32|285260.5|0.18|2709.0|Oui|Élevé|5.57
M310|Eco-Lait en poudre|Ingrédient|446.09|769|SUPPLIER_68|455503.43|0.5|1139.7|Non|Élevé|3.58
M082|Ultra-Fromage concentré||964.66|531||39241.22|12.82|1297.25|Non|Normal|13.95
M344|Premium-Arôme en poudre|Ingrédient|281.76|370|SUPPLIER_13|155141.56|0.66|539.3|Non|Normal|12.16
M389|Premium-Lait enrichi||397.62|634|SUPPLIER_7|219449.31|7.53|1277.45|Non|Normal|18.43
M239|Super-Arôme en poudre|Ingrédient|142.84|312|SUPPLIER_52|44373.84|0.53|400.6|Oui|Faible|7.38
M372|Eco-Sucre enrichi|Ingrédient|219.31|605|SUPPLIER_10|111717.59|0.35|709.6|Non|Normal|7.23
M1m|Premium-Amidon en poudre|Produitb|410.03|76|SUPPLIER_50|39673.2|2.85|242.3|Non|Critique|14.3
M144|Bio-Crème enrichi|Produit laitier|133.76|251|SUPPLIER_54|35697.92|0.31|744.0|Non|Faible|10.45
M082|Premium-Beurre concentré||868.75|440||36230.17|12.82|1297.25|Non|Normal|13.95
M190|Ultra-Beurre concentré|Ingrédient|849.68|456||36288.38|3.07|746.29|Non|Normal|36.62
M007|Ultra-Lait liquide|Ingrédient|70.18|502|SUPPLIER_41|35852.13|0.18|482.5|Oui|Normal|22.35
M449|Super-Fromage concentré|Ingrédient|291.69|158|SUPPLIER_73|43686.21|1.87|214.4|Oui|Faible|13.16
M105|Eco-Sucre concentré|Ingrédient|293.4|173|SUPPLIER_31|55325.73|1.69|229.6|Oui|Faible|14.02
M291|Bio-Amidon en poudre|Produit laitier|205.74|1037|SUPPLIER_12|193628.31|0.13|2748.0|Oui|Élevé|6.11
M056|Ultra-Sirop en poudre|Ingrédient|77.85|275|SUPPLIER_62|25889.48|0.22|453.4|Oui|Normal|6.91
M381|Super-Amidon naturel|Produit laitier|193.17|1112|SUPPLIER_32|226759.12|0.11|3087.0|Non|Élevé|3.01
M207|Eco-Arôme enrichi|Produit laitier|345.18|341|SUPPLIER_21|166048.38|0.45|1290.0|Oui|Normal|9.53
M418|Premium-Crème liquide|Produit laitier|295.31|460|SUPPLIER_31|139736.82|0.34|1410.0|Non|Normal|6.11
M047|Ultra-Arôme naturel|Produit laitier|151.1|201|SUPPLIER_3|26593.22|0.35|684.0|Oui|Faible|5.86
M304|Eco-Crème enrichi|Ingrédient|404.71|975|SUPPLIER_5|365174.2|0.41|1073.3|Oui|Élevé|9.39
M019|Premium-Sucre naturel|Produit laitier|72.32|188|SUPPLIER_69|15883.99|0.2|654.0|Non|Faible|7.53
